year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1734,trade,,exports,Marseille +0.4%/an,50667873.51492603,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1735,trade,,exports,Marseille +0.4%/an,50881857.479431726,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1736,trade,,exports,Marseille +0.4%/an,51096745.1553798,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1737,trade,,exports,Marseille +0.4%/an,51312540.35938544,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1738,trade,,exports,Marseille +0.4%/an,51529246.924181685,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1739,trade,,exports,Marseille +0.4%/an,51746868.6986888,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1740,trade,60155822.42006069,exports,Marseille +0.4%/an,51965409.54808185,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1741,trade,63385483.837205276,exports,Marseille +0.4%/an,52184873.35385978,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1742,trade,,exports,Marseille +0.4%/an,52405264.01391359,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1743,trade,63955581.22861291,exports,Marseille +0.4%/an,52626585.44259682,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1744,trade,28584130.54805281,exports,Marseille +0.4%/an,52848841.57079367,65572729.99251215,65572729.99251215,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1745,trade,42425896.08805164,exports,Marseille +0.4%/an,53072036.34599005,66773055.283784635,66773055.283784635,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1746,trade,40552541.76351109,exports,Marseille +0.4%/an,53296173.732342966,67995352.83097889,67995352.83097889,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1747,trade,38818172.998842806,exports,Marseille +0.4%/an,53521257.71075132,69240024.84175745,69240024.84175745,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1748,trade,,exports,Marseille +0.4%/an,53747292.27892585,70507480.88629614,70507480.88629614,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1749,trade,71792070.51081216,exports,Marseille +0.4%/an,53974281.451461434,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1750,trade,75098549.15742122,exports,Marseille +0.4%/an,54202229.25990692,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
1751,trade,71362593.52451889,exports,Marseille +0.4%/an,54431139.752838,,,Marseille,0,Perte memoire-41.6%,Perte -33.6%
